jobTitle,preferredjobs
"Data Input","Library/Museum Assistant, Admin/Clerical, Customer Services"
"Vna driver","Vna Driver, Warehouse, Driving"
"Carer,Support worker,Cleaning manager","Support worker, Carer, Cleaner"
"Tyre Fitter,Warehouse Operative,Technician","Technician, Tyre Fitter, Door Supervision"
Cleaner,
"Self employed painter and decorator","Painter and decorator, Handyman"
"Machine installer,Driving,Warehouse operative","Warehouse Operative, Supervisor"
"Printer,Barista",Printer
"Healthcare professional,non-gaming supervisor and team member",
Labourer,"Construction, Warehouse operative, Landscaping"
"car valeting,warehouse,security","Security, Warehousing, Cleaning"
"Shop assistant",
"Delivery driver,Dominos delivery driver Castleford,Dominos delivery driver Oulton,Bartender,NHS Covid bookings call centre agent,Amazon delivery driver","Van work (insurance, excess, fuel covered), Reception worker, Forklift job with training"
"Warehouse work,Take away server,Taxi operator",
"warehouse picking and packing,Cleaner","Cleaner, Warehouse operative"
"Hair addresser","Receptionist - doctors, Hairdressing"
"Pub,Warehouse","Construction, Retail, Warehouse"
"General Painter and decorator","Forklift Operator, Painter and Decorator"
"take aways",
"Factory Worker,Labourer","Construction Worker"
"Managing Director,Interpreter,Managing Director","Managing Director (current position)"
Sheppard,"Bakers, Supermarket"
"Therapy assistant","Psychology, Office based, Retail"
,"music producer, game designer, content creation/editing"
"Civil Engineer","Construction, Ground Works, Picking/packing"
"Domestic assistant,Nursery practitioner",
"Warehouse Operative","Drivers mate, Delivery driver, Warehouse"
"Warehouse operative",Construction
"shop assistant",
"Machine Operator",
,"Painting, Flooring, Carpenter"
Drainage,
"car valeting,labour","labour, car valeting, sales"
"Warehouse work,Take away server,Taxi operator",
"Shop work",
"Financial Adviser",
,"I am a Bussiness Administration graduate from El Salvador"
,"Driver, Delivery"
"Retail Assistant,Warehouse Asistant","Warehouse, Factory, Picker packer"
"sales assistant",gardening
"Check outs",
"Amazon,Pot washing",Warehouse
,"Sales, Travel, Teaching"
"Packing,machine operator","Driving Jobs"
Carpenter,"Carpenter, Production line operative, Warehouse operative"
"Bakery,Labouring,Warehouse","Warehouse, Labouring, Bakery"
,"Construction labourer"
,"Sewing, Project Manager, Retail"
"cleaner/porter,Cleaner",
,"Data Scientist"
"CARER,care assistant","Community care assistant (walker), Retail assistant, Trainee pub operator"
,"Career, Sales assistant"
"Bar Work,Retail,Warehouse","Retail, Office - Admin, Bar, Customer Service"
"Warehouse,Cleaning",
"Warehouse person",
"Warehouse  op","Security, Drivers mate, Store assistant"
"Driver in Uganda",
,Cook
,"Retail Assistant (Afghan) only"
"Packing toys,warehouse operative picking packing returns",
Roofer,
,"Teaching assistant, Urdu interpreter"
"warehouse operative","Security, Landscaping, Warehouse"
"Support worker,Retail assistant","Mental health"
Cleaner,
,"Administrative, HR"
,"Teaching assistant, Retail, Hospitality"
,"Warehouse Operative, Retail Assistant, Barista"
"electrician,engineer",electrician
"Front counter and cleaning",
"School cleaner/janitorial,Housekeeper,CALL CENTER LEVEL 1 PLANNER,SECURITY OFFICER,DINNER LADY/SCHOOL TRAFFIC WARDEN,CLEANER,Child minder,Hotel housekeeper/front of house desk receptionist,General cleaner/housekeeper","CARE ASSISTANT, SUPPORT WORKER, CALL CENTER, RETAIL, CIVIL SERVICE, CUSTOMER SERVICE, RECEPTIONIST, ADMINISTRATION, Housekeeper, Sales Assistant, Carer, Warehouse operative, Hotel reception front of house desk receptionist, Barista, Coffee shop assistant"
"Cleaner,Wearhouse / picking packing","Customer assistant/ retail assistant/ work on till, Customer assistant replenishment/customer assistant online, Warehouse"
,"Cleaning, School Dinner lady"
"Kitchen Porter,Warehouse operative","Warehouse operative"
"Crew Member,Residential Support worker,Health Advisor",
"Machine Cutter","Machine Cutting"
,"Wholesale/Retail (online), General operative/machine operative"
"Bar Staff,Security","Gardening, Roadworks, Construction"
"Retail Assistant,Personal and Political Assistant,Communications Intern","Journalism, Political Research"
"Learning disabilities challenging behaviour support",
"Warehouse Technician Operative",
Cleaner,
Housekeeper,
"Shop assistant","Retail, Warehouse"
"Foster carer","Sales person"
"car valeting,warehouse,security","Security, Warehousing, Cleaning"
"Waitress,Waitress",
,"Painter/decorator, Handyman, Chef"
"Front of house and events coordinator,Activity coordinator,Cafe Assistant,Waitress","Events management"
housekeeping,"Housekeeping, Picking and packing"
"Lunchtime Supervisor",
"Sailor,Field engineering,Offshore Generator Technician","Offshore engineer, Dairy farm worker, Sailor"
,"Warehouse picking, Warehouse packing"
"Warehouse Operative","Video Editing, Computer Related ( Not Coding ), Gaming Industry ( Social Media Manager or anything that could be available )"
"Community staff nurse,Retail assistant,Covid vaccinator","Nursing, Police, Retail"
Cook,"Chef/cook, Admin, Sight"
,"Customer service, Warehouse operative, Any sort of medical as apprenticeship"
"Bricklayer apprenticeship,Warehouse operative","Railway, Apprenticeship, Construction"
"Cleaner,Runner in a restaurant",
Engineer,
,"Human resources, Finance"
"Cleaning,care work,care worker",
Restaurant,
"Warehouse,Care",
"city fibre,Picker and packer,Bricklayers labourer,Plumbing aprentice","Constructing, Site work"
"Online Service Colleague,Waitress","Nursery Apprenticeship, Nursery Practitioner"
"Construction,Labourer,Roofer",Roofer
,"Order picker/packer, Cleaner, General warehouse worker"
Scaffolding,
"health care support",
"SEN support","teaching assistant"
"Operations manager,Team Leader,Scheduler","Personal assistant, office manager"
"FLT operator,Warehouse work","Warehouse operator"
"Bartender/glass collecter,Bartender/waiter,Bartender,Waiter,Waiter,Bartender","Warehouse Operative, Bartender"
"warehouse operative,labourour,forklift driver","forklfift driver"
"Selling fireplace seals",
"Armed Forces,Home Insurance,SALES ADVISOR","Security Guard"
"sales advisor","quantity surveyor, call centre agent"
Labourer,"Labouring, Yard, Warehouse"
"Construction Work experience,Charity shop work","Open to anything"
"Civil engineering technician,Apprentice cad technician",It
Tiling,tiling
"Truck driver,Construction","Construction, Welder, Warehouse, Carpenter"
"Taxi Driver,Factory worker","Taxi driver"
Warehousing,
,"employment adviso, youth work"
,Accountant
"thermoplastic road marks",
,"Special boat services, SBS, SRR"
"Care assistant,Sales assistant,Catering assistant,Team members","Care assistant"
retail,"Cabin Crew, Retail, Customer Service"
,"Retail, Pet shops, Waitresses"
"Fire Sprinkler Installer / General Labourer,Delivery Driver / Warehouse Operative","Warehouse Operative - Picking, Warehouse Operative - Goods Inwards, Delivery Driver - Up to 3.5 tonne Vehicle"
bookeeper,
Retail,"Lunchtime Supervisor, Carer"
,"Van driver, Bus driver, Road work"
,"Warehouse operative, Cleaner"
"BARSTAFF,SHOP ASSISTANT,ASSISTANT,bakery worker,retail assistant,food production operative",
,"Picker packer"
"Beauty Therapist","Teaching Assistant"
"Primary School Teacher,Sales Assistant,Teaching Assistant,Retail Assistant,Teaching Assistant","(Self Employed) Nail Technician, (Self Employed) Beautician"
"Warehouse operative",Carpenter
"Schoo dinner lady,Cleaner","Catering assistant, Dinner lady"
"next warehouse","warehouse, supermarkets"
"Personal Trainer","Security Guard, Personal Trainer, Driving Jobs"
"Warehouse worker,Warehouse worker,Warehouse worker,Warehouse worker,Warehouse worker",
"Homeless Officer",
"self employed car valeter,Taxi driver",
"Roofing,Wearhouse,Labouring","Labouring, Retail / stacking shelfs, Drivers Mate"
"Warehouse Operative - Morrisons","Warehouse Operative, Picker/ packer"
"Personal Assistant","Emergency Care Assistant, Health Support Worker, Trainee Nursing Associate"
"Early Years Practitioner","Early Years Practitioner"
Receptionist,"Administration, Receptionist, Community"
"cleaner,Warehouse Operative,Cleaner","cleaner, warehouse"
"Warehouse Operative,Personal Trainer at Better Bodies by Simon Burke,Personal Trainer at PureGym","Personal Training & Gym/Exercise/Sports Facility, Brick Laying/Labouring/Plastering, Office Jobs"
"Werehouse,Van driver,Bar staff",Driver
Plastering,"Office Jobs, Admin Roles"
"domestic assistant,receptionist,dental nurse",
"account manager",
"EARLY YEARS EDUCATOR",
"Bar staff","Retail assistant"
"Security Officer,Bench Joiner",
Housekeeper,
"Sales advisor,Team leader","Project support officer, Administration assistant, IT service manager/officer"
"Cleaner,Tiling,Bricklaying,Warehouse operative",Cleaner
"Fish and Chip shop","Retail, Working with Animals"
Builder,Builder
"Teaching Assistant",teaching
"Cleaning in a pub.,Picker and packer (warehousing)","Retail., Cleaner."
"Kitchen assistant",
"Restaurant assistant,Bank Clerk,Amazon Warehouse operative","Amazon, Warehouse, Door security"
Roofing,"Construction, Roofing, Building"
"Byrons food solution warehouse",Animals
"Donnas Domestic cleaning services",Cleaning
"SPAR Food-to-Go Assistant,Burger King Team Member","Care Helper/Assistant, Data Management, Retail Work"
"Railways,Plastering,Warehouse,Bricklaying","Trades, Construction"
"Cleaner,Barista","Cleaner, Nail Technician, Barista"
"warehouse operative,cleaner,cheff",
"Grazer,Farming","farming, Grazing, Warehouse"
"Snagger,Finisher","Finisher, Snagger"
"Member Ambassador","Teaching Assistant, Mental Health Support Worker, Retail Assistant"
"FLT operator,Warehouse work","Warehouse operator"
"kitchen porter,sandwich artist,shelf stacker",
"Line operative","Line operatative"
"Sheet metal roofer,Cladder,Labourer,Catering assistant","Labourer, Sheet metal roofing, Warehouse"
Councellor,
"warehouse,Picking and packing",
"Retail Assistant",
"Waste trade,Warehouse  operative,Engineering",
,"teaching assistant(willing to do a course), school passenger assistant"
"Line work on productin line for Max Factor,Waitress,Office work",
,"Warehouse, Pot washer"
"Retail / stacking shelfs","Administrative, Purchasing, Receptionist"
"Temp cleaner,Morning Supervisor,Covid Cleaner,Bar & Cafe Staff","Hospitality, Catering"
,"Warehouse operative, Waitress/bar staff, Carer"
"Warehouse operative","Picker/packer, Counter balans driving"
"warehouse operative,warehouse operative","warehouse, apprenticeships"
"Fruit packer",
"Warehouse / picking","customer service, Sales"
,"Barber, Security"
"Kitchen Assistant",
"Ice cream seller,Domestic","Domestic, Domestic, Domestic"
"Picking,Picking","warehouse, driving"
Warehouse,
"Warehouse operative/ Storeman","Telecoms Engineer, Warehouse Operative"
,"Accounts assistant, Purchase ledger, Sub contractor administrator"
"CHEF,CHEF",
"Support Worker","Support Worker"
"Cleaner,Warehouse Operative","Warehouse Operative, Cleaner, Caterer"
Cleaning,Cleaning
,"Building/construction, Trades, Warehouse"
"food manufacturing operative","POT WASHER, CLEANER, FOOD PRODUCTION OPERATIVE"
Builder,
"Cashier,Personal Assistant/Secretary,Lawyer,Cashier","Secretary/Admin/Reception, Paralegal, Waitress/Front of House/Bartender/Barista"
Salesman,
"Door Assembler,Stock Operative","Shelf Replenishment, Grounds Maintenance"
Labourer,
Retail,"Retail, Lunchtime Supervisor"
"Construction,Driver of heavy vehicles",
"Teaching assistant",
"Warehouse Operartive","warehouse operative, care, beauty"
"Retail Assistant","Retail Assistant"
Fencing,"Fencing, Scaffolding"
,"Warehouse jobs, Retail work"
"Pizza Shop / Kitchen assistant,Warehouse",
Driver,
Matalan,"Cleaning, Retail, Childcare related jobs"
Teacher,"Care Sector, Support Worker"
"HGV Driver,Production Operative",
"Warehouse operative","Shop assistant, Warehouse operative"
"Cleaning in a pub.,Picker and packer (warehousing)","Retail., Cleaner."
"Store cleaner,Warehouse operative,I worked as a store worker as a teenager",
"sales/customer service",retail
Shephard,"Resturant, Car Wash"
"CLEANER/ORDER PICKING",
"Home in stead,Retail,shell garage","Caring, Driving jobs, Retail"
"Teacher abroad",
"Administrative Assistant,Apprentice Administrator/Social Media Assistant","Administrative Assistant, Data Entry"
"Receptionist,Beautician","Beautician, Receptionist, Anything I am able to do."
Gardener,
"bar work",Retail
"cleaner,janitor cleaning",Cleaner
"Kontroler jakosci wyrobow,Kucharz","Picking and Packing"
"bus driver","call centre, shop, retail"
"Loader & unloader,Picker & packer",
labourer,
"Night shift Team Leader,Picker/Packet,Stock movement Supervisor","Retail, Cleaner, Warehouse"
,Teacher
"General Assistant","Football coaching, Retail, Admin"
"Supervisor,Sales assistant,Sales greeter",
"Cleaning,Kitchen,Warehouse","Warehouse, Kitchen, Cleaning"
,"Gardening, Valeter, Drivers mate"
"HGV Driver,production operative","HGV Driver"
"warehouse,Forklift,Apprentice engineer","Warehouse jobs, Driving jobs cat b"
"Warehouse Operative,Catering,Front-of-house at a Cafe",
assistant,childcare
,"Mechanic, Electrician, Brick laying, Plumber, Warehouse"
"Shop assistant,Barman",Retail
"Sales assistant","Sales, Shops"
"warehouse operative / PTE and LLOP driver,warehouse operative,car parts assembler,food catering cooker,cscs labouer and painter,Laundry Technician","dogs training and  animal care, care job, security, cooking"
,"Construction, Building, Roofing"
"Creative Graphice Designer,Creative Artwork/Packaging Designer","Creative Graphic Designer, Creative Packaging Designer, Textile and Sportswear Designer"
"Picking,Fkl driver,Operator","Van Driver, Fkl driver, Operator"
"Warehouse operative,Warehouse operative","Warehouse operative, Warehouse operative, Cleaning"
,"Warehouse / picking packing, Retail / stacking shelfs"
Warehouse,
,"Stage Work (Live Music, Venues)Graphic Design, Graphic Design, IT Department(s), Mental Health-related, Printing (Screenprinting, Commerical), Office Mailroom"
"Crew member",Retail
"Window Techician",Construction
"Warehouse Operative","Warehouse Operative, Warehouse administrator"
"A&D ACCOUNT MANAGER / ESTIMATOR,Senior Business Development and Technical Sales Executive,Senior Technical Sales estimator","Technical sales, estimator, account manager"
"Cleaner,Cleaner,Chef apprentice,Warehouse,Painting and decorating","Cleaner, Chef daytime, Painter / decorator, Support worker, Careworker, Bartender"
"Stage building,Valet,Warehouse",Construction
warehouse,"warehouse, retail, gardening"
Scaffolding,"Handy man, Labourer, Warehouse"
"Tool operator,Quality checker",
"Pizza Chef",
"Cafe Assistant,Bar Person","Support work young children"
"Kitchen Assistant",
"Ground work,Warehouse operative,Delivery driver,Oak furniture land,House clearances","Site labour, Driving"
"Cleaner,Sales assistant,Sales assistant",Cleaning
"Food truck operator","Warehouse, Retail, Factory"
Warehouse,
"Cleaner,Caffee,McDonalds",Caffee
"Care,Warehouse,Kitchen Porter","Kitchen Porter, Warehouse, Care"
"Cleaner,Cleaner",
"Delivery driver,Warehouse operative","Warehouse operative, Delivery driver"
"Support Worker,Care Assistant","Support Worker, Banking, Prison Admin, Self Employed Course(work on my terms due to health)"
"Cleaner,Cleaner,Volunteer at BHF",
"Assistant residential officer,Security supervisor",
"Tyre fitter,Center manager,Commercial tyre fitter","Tyre fitter"
"Retail Assistant,Picking / Packing,Warehouse Operative","Warehouse Operative, Retail Assistant, Customer Service, Admin"
"Nanny,Domestic assistant (NHS),Teaching Assistant SEND (Autism),Teaching Assistant in Key Stage 1,Teaching Assistant in EYFS",
"Landscape  Gardener",
Sawing,
Labourer,"Warehouse, Labour"
"Insurance Broker","Sales, Insurance, Finance"
"Claimant has not worked",
"Support worker,Retail assistant","Mental health"
"Building site,Worker in bakery,Shop keeper","Shopkeeper Job"
"Care Assistant","Support worker, Care assistant, Retail work"
"Sales Specialist,Merchant Services","Merchant Services, Field sales"
,Cleaning
,"kitchen porter, cleaning"
"Dog groomer","Retail assistant, Shelf stocking"
"Customer Care Manager",
"Picker/Packer",
"Trailer Driver",Driver
"Warehouse operative","warehouse, Recycling centre work"
"store assistant","Care, store assistant"
"Reception/administrator,Administrative assistant,HR Administrator","Administration, Customer Service"
"Healthcare Worker",
"Concrete flop layer,Labouring,Warehouse Operative,Concrete Floor layer","Labourers, Concrete floor layer, Plasters"
,"Housekeeper,, Cleaner, Pot washer"
Labourer,
"complete lettings / Labouring houses","Delivery Driver, Labouring, Warehouse / picking packing"
Roofing,"Construction, Roofing, Building"
"Byrons food solution warehouse",Animals
"Bookers,Window fitter","Window fitting, Glazing, Roofing"
"Insulation,Welding","Welding, Labouring"
"care home assistant,Cleaning","Care, cleaning"
,"Event Assistant, Marketing Executive, Event Co-ordinator, Event Executive, Social Media Executive, Website Developer, Video production"
,"Customer service adviser, Receptionist, Administrator, Retail sales assistant, Telesales"
"House hold appliance engineer","House hold appliance engineer"
"Wholesale worker","FLT (No licence), Rail Worker, Labour, Ground works"
,"cleaner, warehouse, packing"
"Taxi Driver (In Syria)",
"Retail assistant",
,"Outdoor work"
"Ground worker","warehouse general work (picking and packing), general retail (shop floor) (back of shop in warehouse)"
,"Warehouse, Restaurant, Hospitality"
"Warehouse Operative",
"Chef,Teacher Assistant,Midwife",
,"Fitness, Motorcycle"
"I currently work at Burger king","retail, social care, hospitality"
"Cleaning,Assistant manager for a betting office",
"Waitress,Kitchen Assitant,Assistant Manager","Retail, Office work"
Warehouse,
"FLT warehouse,FLT warehouse","FLT, WAREHOUSE, NHS PORTER"
"Building,Landscaper,Welder/fabricator,Joiner",
"warehouse operative","warehouse operative"
,"Construction, Mechanics, Joinery"
"Customer Service","Barista, Performance Arts"
,"Waitressing, Retail"
"Delivery driver",
,"Scaffolder, Joiner, Roofer"
"Building site,Worker in bakery,Shop keeper","Shopkeeper Job"
"Carer,Cleaning","Cleaning, Customer service, Dog Walking"
"Salon Receptionist,Carer","Receptionist/ Admin"
,"Decorator, Roofing labour, Shopping joiner, Labouring"
"Support worker,School assistant supervisor,Bar person","Support work, Care work"
"Heron foods,B&m",
"Restaurant Manager",
"Warehouse Operative,Factory Operative,Store Assisstant","It, Office Based"
Cleaner,"Cleaning, pet grooming"
Farming,
"Dinner Lady","Dinner lady, Working with animals"
"HEAD CHEF",
"PLASTERES LABOURER,Labouring demolition",
"Werehouse,Van driver,Bar staff",Driver
"carer,bar maid,retail assistant",
Cleaner,
"clearning,bartender","retail, cleaning, bartending"
"Warehouseman,Van driver,Labourer",
"Warehouse Operative","Warehouse Operative, Retail, Admin"
"Joiner,Manager of a Bingo Hall","Supermarket work"
"Parcel Sorter,Front of House",
"Kitchen assistant",
,Construction
"Bar staff,graphic designer,artist,Interior designer",
"Care assistant,Sterile services technician",
"Cleaner,Caffee,McDonalds",Caffee
Carer,"Carer, Bar Staff"
"Roofing,Wearhouse,Labouring","Labouring, Retail / stacking shelfs, Drivers Mate"
"Ground worker,Warehouse / picking packing",
"111 Health Advisor,Unit helper/volunteer with girlguiding,Young Healthwatch volunteer","Teaching assistant, Assistant psychologist, Trainee EHMP, SEN worker"
"Support worker,Driver,Supermarket,Bartender",
"NHS Catering","Catering, Waitress, Administrative job, Retail"
chef,
Market,"Teaching assistant, Marketing"
"Picker/Packer",
"Machine Operator,Fork Truck Driving,Warehouse co-ordinator","Fork Truck Driving, Machine Operator, Warehouse"
"Packer,Gardener,Volunteer,Picker packer","Warehouse, Cleaner"
"Electrical Engineering Apprentice,Supply Restock,Phone Support / Sales",
"Warehouse Operative","Care Assistant, Support worker"
,"Flt driver, Warehouse operative, Mhe instructor"
"Worked in a gym",
"Car Valeter","S/E Car Valeter"
"Cleaner,Warehouse operative,Warehouse Operative",Cleaning
"Geography Teacher",
Retail,"Cleaning, School lunch time supervisor"
,"Traffic management, Driving job"
"Grazer,Farming","farming, Grazing, Warehouse"
Gardener,
,"Railway Man, Engineering, Plumbing"
"Warehouse Operative,Security","Gardening, Landscaping, Warehouse"
"Landscape Gardener",
"Retail supervisor",
,Farming
,"Nights, School hours"
"Roofing,Gas Engineer / Pipe layer","Admin / Customer Service, Sales / Sales Assistance, Driver Mate, S.I.A / CCTV"
"Admin,Customer Service,Civil Servant","Civil Service, Civil Engineer, Admin"
"Sales Solutions Executive",
"Kitchen staff,Warehouse engineer,General Warehouse,Warehouse operator","Tattoo artist, Admin, Warehouse"
warehouse,"warehouse, order picking, packing, driving"
"Solar Panel","Solar roofing, Drivers mate/, Driver"
,"cleaning, cooking, shop work"
"retail assistant",
Labourer,Bricklayer
"Warehouse operative","Retail, Carer"
"Tyre Fitter,Warehouse Operative,Technician","Technician, Tyre Fitter, Door Supervision"
"Maintenance worker",
,"Cleaning, Warehouse"
"Bakery Operator","Bakery Operative, Production Operative, Laminator"
"Admin Assistant,Admin","Administration, Customer Service, Retail"
"domestic assistant,receptionist,dental nurse",
"delivery driver,chef","security, driving, kitchen"
"Quality & Technical Manager,Technical Co-ordinator,Trade Sales Co-ordinator,Retail Sales Team Leader,Procurement Co-ordinator","Continuous Improvement Manager, Project Manager, Purchasing Manager"
"Product design,Waitress,Pub work","Product designer"
carer,
,"Managing Director BMW Car Sales, Managing Director Sainsburys, Managing Director ASDA"
,"NHS Clerical Officer"
,"Carpenter, Handyman, Painter"
"Customer assistant,Customer service",Tesco
,"WFH jobs, Retail, Bar work, Security"
"warehouse operative,cleaner,cheff",
"Delivery driver,Warehouse operative","Warehouse operative, Delivery driver"
construction,"construction, painting/decorating, plastering"
,Barber
,"Vegetable picking"
,"Warehouse Operative"
"PERSONAL SEARCH AGENT",
"take aways",
"Call Centre","Admin, Call Centre (incoming)"
"Apprentice Fabricator,Front of House Staff",
,"Photography, IT, Videography"
"Cleaner,Cleaner,Cleaner",Cleaner
"Warehouse operative","Picking and packing"
"Shop Assistant",Barbering
"self employed car valeter,Taxi driver",
"Climbing Instructor - East Riding Leisure Bridlington,Office Admin - All In Training,Crew Member - McDonalds,Sales Assistant - Vodafone,Call Centre Worker - Luminate Education",
,"Cleaner, Labouring, Tiler, Any job that I'm capable of doing"
"Customer Service Administrator,Lunchtime supervisor,Administrator,Administrator,Administrator",Admin
"Data Entry,Stocks and Quality Control,Team Member Retail","Retail, Warehouse, Admin"
Dispenser,
"Cloth sewing operative,Cloth Sewing operative",
"Delivery driver,Cake maker,Cleaning & housekeeping,Retail assistance,Care Worker","Domestic cleaner & housekeeper, Retail customer service, Warehouse operative, Care worker, Foodstuff operative"
"Sandwich artist,Waiter,Team member,Picker/packer NEXT PLC,KFC team member,TGI Fridays bar tender",
"Admin,Customer Service,Civil Servant","Civil Service, Civil Engineer, Admin"
"Labourer,Sheet Roofer","sheet roofer, labour"
"Office work,Waitress",Barber
"Next - Warehouse Assosciate,Superdrug - Sales Advisor","Animal-Based Work of any Variety, Library Work, EDT/EDP Sales"
"Wood works,Car valeting,Mechanic","Bike mechanic, Warehouse workers night shift"
"private hire driver",
"Customer assistant,Customer service",Tesco
"joiner,labourer,courier",courier
"Ground worker","warehouse general work (picking and packing), general retail (shop floor) (back of shop in warehouse)"
"Cleaner,Lunchtime supervisor",
"Sign writer,Mechanic","Mechanic, Sign writer"
"Mental health support worker","Sales assistant"
"Online shopping,Bar attendant,Sales assistant",
"Picker/packer,Bar tender","Bartender, Retail, Warehouse"
"Retail assistant",
"Customer care assistant,Crew member,Chef","Chef, Barista, Bartender"
"electrician,engineer",electrician
Carer,"Teaching Assistant, Dog worker, Chef"
"Warehouse / Loading stock,Care assistance","Care assistant, Warehouse, Retail / stacking / night shifts, Driver mate"
"Auto electrician,Labourer,Packing Make Up,Picture Framing","Gardening, Electrician Based Work"
"Support worker,Support Worker",
"Supervisory assistant,Admin","Supervisory assistant"
"Customer Service Manager,COVID-19 Sample Data entry technician,COVID-19 Call handler,Accounts Assistant,Bar Staff","Physiotherapy, Pharmacy Assistant, Mental Healthcare Assistant"
"kitchen helper,car wash,wearhouse",
"Labourer,Construction and Building Industry","Construction Industry, Labourer"
"Survey driver,Driver",
"Kitchen assistant",
bookeeper,
Cleaner,
"Skilled labourer",
"Food Production Operative,Picker&Packer,Production Operative,Volunteer care work,Warehouse","Warehouse (light), Retail, Production (light), Packing, Part time, Cafe work"
"Picking/ Packing,Retail,Cleaning,Kitchen work","health and beauty, SIA"
Shephard,"Resturant, Car Wash"
"Home in stead,Retail,shell garage","Caring, Driving jobs, Retail"
"Warehouse operative",
,"Personal trainer"
,Cleaning
"Kitchen assistant",
,"Labourer, Bricklayer, Plumbing"
"Sales Executive","Part advisor, Car technician, Sign Making"
"Self Employed Lash Technician,Receptionist","Health care / Dentistry"
"Sportsman - cricket player","Security job, Retail"
"Hospitality- fast food,Warehouse operative,Customers service- WHSmith","Barman, Retail, Customer service- fast food"
"Teacher in a mosqe,Hmp,Quality and Safety admin nhs,Business admin NatWest","Teaching assistant, Admin"
Farmer,
"Warehouse operative,Picker packer,Hygiene operative,Picker,Casting operator","Picker/packer, Hygiene operative"
,"Warehouse operative pick and pack"
,Apprenticeship
"Cashier,sandwich artist",
"Ground work,Warehouse operative,Delivery driver,Oak furniture land,House clearances","Site labour, Driving"
,"Paining and decorating, Joinery"
,"joinery, kitchen fitting, lorry driver"
cleaner,"cleaner HNS"
"Head Chef,Chef de Partie,Sub contractor,Chef de parte,Sales rep",
"front of house","Hospitality, Customer service"
,"Construction, warehouse, Retail"
"warehouse operative",
"Council Worker","Teaching Assistant, Warehouse, Driving jobs"
"Cleaning,Assembly work","Cleaner, Concept Artist"
"Parts Advisor,Warehouse operative",
"window cleaner","Window cleaner, Landscaper, Ground maintenance"
"mcdonalds crew member",
"Warehouse Operative,Personal Trainer at Better Bodies by Simon Burke,Personal Trainer at PureGym","Personal Training & Gym/Exercise/Sports Facility, Brick Laying/Labouring/Plastering, Office Jobs"
"Sorting and packing,Warehouse operative,Car parts assembler,Food catering assistant,Packing operative,Picked and packed with speed and precision,Production operative","Kitchen assistant, Shop assistant, Carrieng job"
Hospitality,"Hospitality, Customer Service"
Landscape,
"Crew Member","Waiter, Retail, Bartender, Fast Food"
,Cleaner
Engineering,
,"Costa, Aldi, Nhs"
"Pattern cutter,Milk sorter",
"Painter and decorator","Painter decorator, Construction - No CSCS card"
,"Customer service"
"Landscaper,Construction worker,Hgv delivery driver","Hgv driver, Construction worker labourer"
"Delivery driver,Asda,Subway,Factory",
"motorway - civil engineering labourer,warehouse",
"Hand & shine / car wash",
"Sewing Machinist,Production Operative",
,"Admin, Customer service"
"Warehouse Operative","Warehouse Operative"
"Administrator,Warehouse",Administrator
electrician,
,"HEAVY VEHICHLE OPERATOR, SECURITY SIA BADGE"
,"Software Developer"
"FLT CB,FLT CB","Flt driver, Warehouse operative"
"shop work",
,"Roofer, Office, Builder"
"area manager - telecoms",
,"Data management, Project management"
"Administration,Teaching Assistant,Cleaner,Retail Assistant","Childminder, Teaching assistant"
"business owner","fabrication, production, management, admin, self-employment"
"Cleaning,Schools with children,Admin","Retail security, Animal care, Admin, cleaning"
"Dyson Vacum engineer,Sales/Business Development,Phlebotomist/HCA/ Driver,Home Care assistant",
,"Trainee barber, Trainee hotel chef/cook"
"kitchen assistant","kitchen assistant, cleaning"
soldier,
WAREHOUSE,
warehouse,
,"Cleaning, Working in market"
"Shop Assistant,Packing","Shop Assistant"
,"Cleaning, Gardening"
Engineering,"Technical support engineer, Technical engineer, Support"
"Bar staff,Retail Assistant,Waitress","Retail, Cleaning"
"Picking and packing warehouse normanton,Customer service at KFC",
Valeter,"Builder, Warehouse operative, Landscapes"
gynecologist,
"Warehouse Operative","Driving role, Warehouse Operative"
"Delivery Driver,Waiter","Analytics, IT, Plumbing"
"Working in a warehouse",
,"Admin, Wherehouse, Tech"
"Care,Warehouse,Retail",
"Labourer,Sales assistant,P2P sales",
"Warehouse operative",
,"IT SUPPORT, Apprentice, Data analysis"
,"Trainee Machine Operative, Warehouse worker, Packing Jobs in factory or warehouse, Delivery Jobs using Cycle or motorcycle, Data entry operator, Online remote jobs like data entry, data scraping, Product listing jobs on online marketplaces like Amazon and ebay, Electronic/Electrical Engineering Apprenticeship, Engineering Apprenticeship, Trainee Electronic Engineer"
"Hermes,Warehouse Operative",
,Cleaner
"till operator",
,"Warehouse, Retail"
"YARD OP AND DRIVER","Driving, Warehouse, Timber yard"
Housekeeper,
"Teacher Active and Hayes Education",
"Cleaning service,Chipshop","Security, Care home worker, Construction"
,"Customer service advisor, Bar manager"
"Picker packet ingedient mixing",
,"Warehouse operative, Warehouse order picker"
"Customer assistant",Retail
,"Retail, Customer service, Charity"
,"Customer Service Adviser, Admin Assistant"
,"Software Programming/Development, Mechanical Engineering, Lab Technician"
"Plant operater","Plant operater"
"Car Washer",
"Care support worker,Hospitality","Care support worker"
"Amazon Driver,Cleaning","valeting, delivery driving, Engine work / Mechanic"
,"Warehouse, Picking and packing, Cleaning"
"Care assistant,Health Care Assistant",
